ENTIDAD,MUNICIPIO,NOMBRE,CLASIFICACIÓN,CP
15,48,COLONIA BENITO JUAREZ LOMA DE HIDALGO,COLONIA,50847
15,48,LOMA DE SAN FELIPE SANTIAGO,PUEBLO,50840
15,14,BOMBATEVI EJIDO,PUEBLO,50487
15,113,EL OCOTAL,PUEBLO,54300
15,48,EJIDO LLANO GRANDE,PUEBLO,50820
15,113,NUEVO,PUEBLO,54350
15,14,LA PALMA,PUEBLO,50487
15,14,LA MESA DE CHOSTO,PUEBLO,50465
15,14,SANTO DOMINGO SHOMEJE,PUEBLO,50465
15,113,CAMPESTRE RESIDENCIAL,FRACCIONAMIENTO,54300
15,14,SAN BARTOLO LANZADOS,PUEBLO,50460
15,113,LA CRUZ Y CARRIZAL,PUEBLO,54300
15,48,MANZANA QUINTA,PUEBLO,50813
15,48,SAN MIGUEL YUXTEPEC,PUEBLO,50825
15,113,LOMA ALTA TAXHIMAY,PUEBLO,54300
15,113,SAN LUIS TAXHIMAY,PUEBLO,54300
15,113,LAS GOLONDRINAS,PUEBLO,54300
15,48,ALEGRE,EJIDO,50834
15,48,LOMA DE MALACOTA,EJIDO,50845
15,49,SANTIAGO CASANDEJE,PUEBLO,50717
15,65,PUEBLO NUEVO DE LOS ANGELES,PUEBLO,50634
15,65,ADOLFO LOPEZ MATEOS,PUEBLO,50633
15,65,LA JORDANA,PUEBLO,50633
15,86,PASTORES,PUEBLO,50400
15,86,SAN PEDRO EL ALTO,PUEBLO,50400
15,86,EL RODEO,HACIENDA,50400
15,86,NUEVO SOLIS,PUEBLO,50400
15,86,JUANACATLAN,PUEBLO,50400
15,86,SAN FRANCISCO SOLIS,PUEBLO,50400
15,14,MANTO DEL RIO PUEBLO,PUEBLO,50495
15,14,MANTO DEL RIO,PUEBLO,50494
15,86,SAN PEDRO POTLA,PUEBLO,50400
15,86,SAN PEDRO POTLA SEGUNDO BARRIO,PUEBLO,50400
15,86,SAN PEDRO POTLA TERCER BARRIO,PUEBLO,50400
15,86,SAN PEDRO POTLA EJIDO,PUEBLO,50408
15,86,SAN FRANCISCO TEPEOLULCO,PUEBLO,50408
15,103,OCAMPO,PUEBLO,50507
15,86,SAN FRANCISCO TEPEOLULCO SEGUNDA BARRIO,PUEBLO,50408
15,86,SAN FRANCISCO TEPEOLULCO PRIMER BARRIO,PUEBLO,50408
15,86,SANTA ANA YENSHU LA MESA,PUEBLO,50400
15,86,SAN JUANICO EL ALTO,PUEBLO,50400
15,86,SAN JUANICO CENTRO,PUEBLO,50400
15,86,SANTA MARIA CANCHESDA,PUEBLO,50400
15,86,BOQUI SANTIAGO COACHOCHITLAN,PUEBLO,50400
15,86,SANTIAGO COACHOCHITLAN,PUEBLO,50400
15,86,EL RINCON,PUEBLO,50400
15,103,HUAPANGO,PUEBLO,50500
15,86,TEMASCALCINGO,PUEBLO,50400
15,27,CADENQUI,PUEBLO,54375
15,86,EL PUENTE,BARRIO,50400
15,27,PRIMERO SECCION CENTRO,BARRIO,54385
15,27,BONXHI,BARRIO,54385
15,27,SAN GABRIEL,PUEBLO,54386
15,27,EL QUINTE,PUEBLO,54387
15,48,LOMA HERMOSA,PUEBLO,50840
15,48,"COLONIA BENITO JUREZ, SAN FELIPE Y SANTIAGO",PUEBLO,50846
15,48,LA NOPALERA,PUEBLO,50844
